en_distance,en_distance_blue,en_distance_ter,en_distance_tri,en_distance_LCS,includesFurmula,onlyNumbers,includesBraces,hasFormatting,numberOfWords,includesLink,reviewScore
29,0.6666666667,0.3333333333,-2,80.95238095,0,0,0,0,3,0,0.5781653747
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
1,0.9394130628,-1,-1,100,0,0,0,0,16,0,0.4076887353
32,0.6959861353,0.1111111111,-10,75.80645161,0,0,0,0,9,0,0.5640019286
5,1,0.5,-2,94.44444444,0,0,0,0,2,0,0.4089147287
22,0.75,0.25,-10,77.27272727,0,0,0,0,4,0,0.5290697674
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
58,0.4444444444,0.1111111111,-18,46.51162791,0,0,0,0,9,0,0.7118863049
20,0.82198643,0.03125,-34,90.4494382,0,0,0,0,32,0,0.4888133992
46,0.6666666667,0.06666666667,-32,62.62626263,0,0,0,0,15,0,0.6007751938
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
5,0.9080923379,-1,-1,96.72131148,1,0,0,0,21,0,0.5045230879
1,0.904837418,0.1,-2,100,0,0,0,0,10,0,0.4225436364
33,0.6666666667,0.3333333333,-2,77.77777778,0,0,0,0,3,0,0.5859173127
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
7,0.3032653299,0.5,-4,100,0,0,0,0,2,0,0.6828428954
15,0.847826087,0.04347826087,-17.33333333,86.01694915,0,0,0,0,46,0,0.4687394675
3,0.9327910311,0.03448275862,-8,97.95918367,0,0,0,0,29,0,0.4130454437
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
11,0.8961711172,0.02702702703,-48,93.37349398,1,0,0,0,37,0,0.5199734827
3,0.9411764706,0.05882352941,-2,97.19626168,0,0,0,0,17,0,0.4107387141
0,1,0,0,100,0,1,0,0,3,0,0.005167958656
0,1,0,0,100,0,1,0,0,3,0,0.005167958656
0,1,0,0,100,0,1,0,0,3,0,0.005167958656
0,1,0,0,100,0,1,0,0,3,0,0.005167958656
14,0.8321588946,0.01351351351,-110,88.23529412,1,0,0,0,74,0,0.5500745957
21,0.8,0.3,-6,89.47368421,0,0,0,0,10,0,0.5019379845
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
19,0.7730483446,-1,-1,84.59119497,1,0,0,0,73,0,0.5826827591
2,0.9259610786,0.07692307692,-4,98.73417722,0,0,0,0,13,0,0.4153997012
0,1,0,0,100,0,0,0,0,8,0,0.3846899225
0,1,0,0,100,0,0,0,0,6,0,0.3863049096
0,1,0,0,100,0,0,0,0,9,0,0.3841515935
0,1,0,0,100,0,0,0,0,11,0,0.3833685694
0,0.9574533681,-1,-1,100,0,0,0,0,23,0,0.3980211078
51,0.4971329538,0.1111111111,-18,64.81481481,0,0,0,0,9,0,0.6778985106
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,0.9574533681,-1,-1,100,0,0,0,0,23,0,0.3980211078
4,0.7788007831,0.25,-2,100,0,0,0,0,4,0,0.4830229523
0,1,0,0,100,0,0,0,0,16,0,0.3822674419
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,11,0,0.3833685694
0,1,0,0,100,0,0,0,0,60,0,0.3804909561
21,0.7857142857,0.9285714286,-26,87.87878788,0,0,0,0,14,0,0.5063676633
0,1,0,0,100,0,0,0,0,12,0,0.3830749354
0,1,0,0,100,0,0,0,0,9,0,0.3841515935
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,24,0,0.3814599483
22,0.7847642752,0.05,-22,84.47488584,0,0,0,0,40,0,0.5068743119
0,1,0,0,100,1,0,0,0,9,0,0.4616709733
0,1,0,0,100,1,0,0,0,7,0,0.4629014396
0,1,0,0,100,1,0,0,0,5,0,0.4651162791
0,1,0,0,100,1,0,0,0,5,0,0.4651162791
24,0.7904770797,0.2142857143,-23,84.21052632,0,0,0,0,42,0,0.5084898731
0,1,0,0,100,1,0,0,0,3,0,0.4702842377
0,1,0,0,100,1,0,0,0,3,0,0.4702842377
0,1,0,0,100,1,0,0,0,3,0,0.4702842377
0,1,0,0,100,1,0,0,0,3,0,0.4702842377
25,0.8409090909,0.2045454545,-25,83.84279476,0,0,0,0,44,0,0.4908386187
0,1,0,0,100,1,0,0,0,5,0,0.4651162791
0,1,0,0,100,1,0,0,0,5,0,0.4651162791
0,1,0,0,100,1,0,0,0,5,0,0.4651162791
0,1,0,0,100,1,0,0,0,5,0,0.4651162791
29,0.5643211499,0.1666666667,-8,86.11111111,0,0,0,0,6,0,0.6113742313
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
55,0.7142857143,0.1428571429,-12,62.79069767,0,0,0,0,7,0,0.6027131783
11,0.8333333333,0.1666666667,-2,88.88888889,0,0,0,0,6,0,0.4722222222
21,0.5,0.5,-4,86.66666667,0,0,0,0,4,0,0.6240310078
1,0.9830508475,0.03389830508,-1.333333333,98.6631016,0,0,0,0,59,0,0.3890093286
35,0.5714285714,0.1428571429,-8,64.28571429,0,0,0,0,7,0,0.619324474
27,0.6666666667,0.6666666667,-4,75.75757576,0,0,0,0,3,0,0.5742894057
2,1,0.1111111111,-2,97.95918367,0,0,0,0,9,0,0.3880275624
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
